Month,Peak_Hours,Blocks,Days_On_This_Window,Days_With_Data,Distinct_Windows_In_Month,Has_Morning_Segment
2024-06,"18:45-20:45, 21:45-22:45",12,14,14,1,False
2024-07,"18:45-20:45, 21:45-22:45",12,31,31,1,False
2024-08,"18:45-20:45, 21:45-22:45",12,13,13,1,False
2024-09,"18:30-20:30, 22:00-23:00",12,30,30,1,False
2024-10,"06:00-07:00, 18:15-20:15",12,20,31,2,True
2024-11,"06:15-07:30, 17:45-19:30",12,30,30,1,True
2024-12,"06:30-08:00, 17:45-19:15",12,31,31,1,True
2025-01,"06:45-08:30, 17:30-18:45",12,31,31,1,True
2025-02,"06:45-08:15, 17:30-19:00",12,28,28,1,True
2025-03,"06:30-08:00, 17:30-19:00",12,24,31,2,True
2025-04,"18:30-20:30, 21:30-22:30",12,30,30,1,False
2025-05,"18:45-20:30, 21:15-22:30",12,31,31,1,False
2025-06,"19:15-21:15, 21:45-22:45",12,30,30,1,False
2025-07,"19:15-21:15, 21:45-22:45",12,27,31,2,False
2025-08,"18:45-20:45, 21:30-22:30",12,31,31,1,False
2025-09,"18:30-21:30, 22:00-23:00",16,30,30,1,False
2025-10,"06:15-07:15, 18:30-21:30",16,19,31,2,True
2025-11,"06:15-08:15, 18:30-20:30",16,23,30,2,True
2025-12,"06:30-07:45, 17:30-19:15",12,31,31,1,True
2026-01,"06:15-08:15, 17:15-19:15",16,27,31,2,True
2026-02,"06:15-08:15, 17:15-19:15",16,24,28,2,True
2026-03,"06:00-08:00, 17:45-19:45",16,12,31,3,True
2026-04,"17:30-20:30, 21:30-22:30",16,23,30,2,False
2026-05,"18:30-20:30, 21:30-23:30",16,31,31,1,False
2026-06,"18:30-20:30, 21:30-23:30",16,23,30,2,False
2026-07,"18:30-20:30, 21:30-23:30",16,31,31,1,False
2026-08,"18:15-20:15, 21:30-23:30",16,16,16,1,False
